task.id,section.id,section.name
1157562707024814,1136596016319253,Master Backlog - Ungroomed
1161854664864243,1136596016319253,Master Backlog - Ungroomed
1156941871863305,1136596016319253,Master Backlog - Ungroomed
1156460975802774,1136596016319253,Master Backlog - Ungroomed
1162837460852153,1140831494124540,UAT Failed
1162183369370567,1134367795571128,Master Backlog - Groomed
1162183369370563,1134367795571128,Master Backlog - Groomed
1162183369370561,1134367795571126,In Progress
1156460975780772,1134367795571126,In Progress
1161298893105353,1136670211016453,UAT Passed
1159907257029281,1136670211016453,UAT Passed
1156460975780769,1136670211016453,UAT Passed
1156401406409685,1136670211016453,UAT Passed
1155933470055352,1136670211016453,UAT Passed
1156590408930791,1134975133741044,QA Passed
1155933470055349,1156733977602521,Sprint - Committed (Feb 10th prod push)
1154551763284057,1156733977602522,Sprint - Target
1155933470055364,1156733977602522,Sprint - Target
1155933470055370,1141519247851731,QA Failed
